account_last4,agreement_number,bank,buyer,category,client,due_date,effective_date,ending_balance,filename,filer,form_type,holder,invoice_date,invoice_number,issuer,max_value,seller,statement_date,style,tax_year,term_months,title,total,vendor
2657,,Metro Federal,,bank_statement,,,,664.4899999999996,bank_statement_01.pdf,,,Morgan Smith,,,,,,2023-11-06,,,,,,
3965,,Metro Federal,,bank_statement,,,,-494.34000000000003,bank_statement_02.pdf,,,Riley Jackson,,,,,,2023-11-23,,,,,,
7732,,Union Savings,,bank_statement,,,,198.34000000000037,bank_statement_03.pdf,,,Taylor White,,,,,,2025-05-16,,,,,,
2980,,Union Savings,,bank_statement,,,,-227.9800000000006,bank_statement_04.pdf,,,Skyler Walker,,,,,,2025-02-23,,,,,,
7030,,Union Savings,,bank_statement,,,,-1425.2500000000002,bank_statement_05.pdf,,,Skyler Anderson,,,,,,2024-06-23,,,,,,
2691,,Metro Federal,,bank_statement,,,,6837.06,bank_statement_06.pdf,,,Drew Jackson,,,,,,2025-06-28,,,,,,
7141,,First National Bank,,bank_statement,,,,5641.000000000001,bank_statement_07.pdf,,,Jamie Miller,,,,,,2024-11-18,,,,,,
7154,,Metro Federal,,bank_statement,,,,-491.37000000000046,bank_statement_08.pdf,,,Parker Brown,,,,,,2023-06-24,,,,,,
8587,,Union Savings,,bank_statement,,,,3484.7000000000007,bank_statement_09.pdf,,,Skyler Garcia,,,,,,2024-06-25,,,,,,
3506,,Union Savings,,bank_statement,,,,2688.810000000001,bank_statement_10.pdf,,,Hayden Smith,,,,,,2025-06-08,,,,,,
,,,,invoice,Cobalt LLC,2024-04-28,,,invoice_01.pdf,,,,2024-03-14,INV-50888,,,,,,,,,4722.42,Evergreen Partners
,,,,invoice,Crescent Ltd.,2024-01-27,,,invoice_02.pdf,,,,2023-12-28,INV-78386,,,,,,,,,6132.37,Harbor Ltd.
,,,,invoice,Summit Inc.,2023-11-17,,,invoice_03.pdf,,,,2023-10-18,INV-41635,,,,,,,,,10774.7,Northstar Systems
,,,,invoice,Ironwood Systems,2025-01-23,,,invoice_04.pdf,,,,2025-01-08,INV-88222,,,,,,,,,2185.26,Summit Solutions
,,,,invoice,BlueRiver Partners,2025-07-15,,,invoice_05.pdf,,,,2025-06-30,INV-72616,,,,,,,,,5683.15,Nova Ltd.
,,,,invoice,Cobalt Group,2025-04-21,,,invoice_06.pdf,,,,2025-03-22,INV-91987,,,,,,,,,5624.2,Silverstone LLC
